"OCDATE","OCUNIT","LATITUDE","LONGITUDE","OCweek.number","OCRESULT"
"8/18/2010","%",29.833217,-88.983117,34,0.00839
"8/18/2010","%",30.062317,-88.9149,34,0.0014
"8/18/2010","%",29.27951,-90.07694,34,0.0169
"8/16/2010","%",29.172183,-89.090767,34,0.0106
"8/15/2010","%",29.71976,-92.97915,33,0.00847
"8/15/2010","%",29.54099,-92.2476,33,0.0109
"8/15/2010","%",29.74594,-93.07921,33,0.0147
"8/15/2010","%",29.54099,-92.2476,33,0.00588
"8/15/2010","%",29.76748,-93.17539,33,0.0176
"8/14/2010","%",29.94995,-89.426217,33,0.0215
"8/14/2010","%",29.94995,-89.426217,33,0.0179
"8/14/2010","%",29.53179,-92.33103,33,0.0148
"8/14/2010","%",29.54917,-92.41589,33,0.0201
"8/14/2010","%",29.56571,-92.49802,33,0.0198
"8/14/2010","%",29.57966,-92.58403,33,0.0104
"8/14/2010","%",29.59736,-92.66623,33,0.00928
"8/14/2010","%",29.77525,-93.24883,33,0.0107
"8/14/2010","%",29.719017,-89.51485,33,0.0515
"8/14/2010","%",29.719017,-89.51485,33,0.0607
"8/13/2010","%",29.61274,-91.99772,33,0.0135
"8/13/2010","%",29.6318,-89.5755,33,0.0044
"8/13/2010","%",29.55556,-92.00491,33,0.00406
"8/13/2010","%",29.52056,-91.92767,33,0.0035
"8/13/2010","%",29.577433,-89.659833,33,0.021
"8/13/2010","%",29.52056,-91.92767,33,0.00361
"8/13/2010","%",29.535754,-89.591953,33,0.0268
"8/12/2010","%",29.62433,-92.74642,33,0.00722
"8/12/2010","%",29.65621,-92.82204,33,0.00246
"8/12/2010","%",29.68939,-92.90194,33,0.0132
"8/11/2010","%",29.70953,-93.84825,33,0.0141
"8/11/2010","%",29.22508,-91.59042,33,0.00735
"8/8/2010","%",29.51721,-91.58795,32,0.0165
"8/8/2010","%",29.44877,-91.49236,32,0.00732
"8/8/2010","%",29.28947,-89.66203,32,0.000661
"8/8/2010","%",29.47497,-91.37346,32,0.0159
"8/7/2010","%",29.44077,-89.93357,32,0.01
"8/7/2010","%",29.4012,-89.81271,32,0.0922
"8/7/2010","%",29.35195,-91.32592,32,0.0152
"8/7/2010","%",29.064317,-89.2227,32,0.0163
"8/7/2010","%",29.28047,-91.31752,32,0.0197
"8/7/2010","%",29.26507,-91.24212,32,0.00895
"8/7/2010","%",29.41648,-90.04369,32,0.0103
"8/7/2010","%",29.41648,-90.04369,32,0.0501
"8/7/2010","%",29.043483,-89.352383,32,0.0195
"8/6/2010","%",29.34561,-90.02518,32,0.0593
"8/6/2010","%",29.177033,-89.339633,32,0.0153
"8/6/2010","%",29.27945,-90.07664,32,0.0124
"8/6/2010","%",29.22282,-91.17071,32,0.0226
"8/6/2010","%",29.19276,-91.09645,32,0.0669
"8/6/2010","%",29.183583,-89.43635,32,0.0129
"8/6/2010","%",29.1737,-91.00341,32,0.0255
"8/6/2010","%",29.23315,-89.52115,32,0.0289
"8/5/2010","%",29.18327,-90.30474,32,0.0106
"8/5/2010","%",29.24578,-90.34563,32,0.0285
"8/5/2010","%",29.13024,-90.89498,32,0.0184
"8/5/2010","%",29.15744,-90.49616,32,0.00717
"8/5/2010","%",29.10675,-90.82388,32,0.0173
