"","class","Species","obsDate","State","Latitude","Longitude","New","Confirmed","Alive","Date","week.number","Live","Health"
"1","Whales and Dolphins","Tursiops truncatus","2010-05-07","LA",29.7115,-89.42988,"N","Y","N","2010-05-07",19,0,"Dead"
"2","Whales and Dolphins","Tursiops truncatus","2010-05-07","LA",29.79369,-89.3445,"N","Y","N","2010-05-07",19,0,"Dead"
"3","Whales and Dolphins","Tursiops truncatus","2010-05-09","AL",30.51182,-88.10054,"N","Y","N","2010-05-09",19,0,"Dead"
"4","Whales and Dolphins","Tursiops truncatus","2010-05-09","MS",30.24547,-88.74055,"N","Y","N","2010-05-09",19,0,"Dead"
"5","Whales and Dolphins","Tursiops truncatus","2010-05-13","LA",29.26598,-89.60778,"N","Y","N","2010-05-13",20,0,"Dead"
"6","Whales and Dolphins","Tursiops truncatus","2010-05-13","LA",30.07178,-89.95213,"N","Y","N","2010-05-13",20,0,"Dead"
"7","Whales and Dolphins","Tursiops truncatus","2010-05-14","LA",29.2747,-89.94015,"N","Y","N","2010-05-14",20,0,"Dead"
"8","Whales and Dolphins","Tursiops truncatus","2010-05-14","LA",29.29474,-89.90714,"N","Y","N","2010-05-14",20,0,"Dead"
"9","Whales and Dolphins","Tursiops truncatus","2010-05-14","LA",29.29571,-89.90682,"N","Y","N","2010-05-14",20,0,"Dead"
"10","Whales and Dolphins","Tursiops truncatus","2010-05-14","AL",30.33761,-87.60326,"N","Y","N","2010-05-14",20,0,"Dead"
"11","Whales and Dolphins","Tursiops truncatus","2010-05-14","MS",30.23066,-88.66986,"N","Y","N","2010-05-14",20,0,"Dead"
"12","Whales and Dolphins","Tursiops truncatus","2010-05-14","LA",29.0512,-90.9215,"N","Y","N","2010-05-14",20,0,"Dead"
"13","Whales and Dolphins","Tursiops truncatus","2010-05-17","MS",30.250817,-88.723133,"N","Y","N","2010-05-17",21,0,"Dead"
"14","Whales and Dolphins","Tursiops truncatus","2010-05-17","MS",30.245933,-88.736783,"N","Y","N","2010-05-17",21,0,"Dead"
"15","Whales and Dolphins","Tursiops truncatus","2010-05-18","MS",30.213933,-89.0828,"N","Y","N","2010-05-18",21,0,"Dead"
"16","Whales and Dolphins","Tursiops truncatus","2010-05-18","MS",30.22945,-89.071717,"N","Y","N","2010-05-18",21,0,"Dead"
"17","Whales and Dolphins","Tursiops truncatus","2010-05-18","LA",29.575783,-89.7118,"N","Y","N","2010-05-18",21,0,"Dead"
"18","Whales and Dolphins","Tursiops truncatus","2010-05-21","AL",30.37178,-88.24439,"N","Y","N","2010-05-21",21,0,"Dead"
