"Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number"
"Northern Gannet",30.3286,-89.1981,"Not Visibly Oiled","Live",1,2010-07-21,1,2010-07-21,30
"Laughing Gull",30.23172,-88.32127,"Not Visibly Oiled","Live",1,2010-05-05,1,2010-05-05,19
"Northern Gannet",30.26677,-87.59248,"Visibly Oiled","Live",1,2010-05-05,2,2010-05-05,19
"American White Pelican",29.29649,-89.66432,"Not Visibly Oiled","Live",1,2010-05-05,1,2010-05-05,19
"Brown Pelican",29.88244,-88.87624,"Visibly Oiled","Live",1,2010-05-08,2,2010-05-08,19
"Brown Pelican",29.0029,-89.36961,"Not Visibly Oiled","Live",1,2010-05-14,1,2010-05-14,20
"Northern Gannet",30.3339,-85.56565,"Unknown","Live",1,2010-05-17,6,2010-05-17,21
"Common Loon",30.28177,-87.51028,"Not Visibly Oiled","Live",1,2010-05-17,1,2010-05-17,21
"Brown Pelican",30.4141,-88.24542,"Visibly Oiled","Live",1,2010-05-18,2,2010-05-18,21
"Northern Gannet",30.24063,-88.12451,"Not Visibly Oiled","Live",1,2010-05-18,1,2010-05-18,21
"Northern Gannet",30.34983,-87.04357,"Visibly Oiled","Live",1,2010-05-19,2,2010-05-19,21
"Brown Pelican",30.40095,-89.22388,"Not Visibly Oiled","Live",1,2010-05-19,1,2010-05-19,21
"Laughing Gull",30.20525,-88.4702,"Not Visibly Oiled","Live",1,2010-05-19,1,2010-05-19,21
"Ruddy Turnstone",29.01852,-89.13831,"Visibly Oiled","Live",1,2010-05-20,2,2010-05-20,21
"Brown Pelican",30.32373,-88.20962,"Not Visibly Oiled","Live",1,2010-05-21,1,2010-05-21,21
"Herring Gull",29.0662,-90.95555,"Not Visibly Oiled","Live",1,2010-05-21,1,2010-05-21,21
"Northern Gannet",30.26865,-87.58337,"Not Visibly Oiled","Live",1,2010-05-23,1,2010-05-23,21
"Northern Gannet",30.25757,-88.1993,"Visibly Oiled","Live",1,2010-05-23,2,2010-05-23,21
"Northern Gannet",30.35498,-88.37456,"Not Visibly Oiled","Live",1,2010-05-23,1,2010-05-23,21
"Laughing Gull",30.39398,-88.90162,"Not Visibly Oiled","Live",1,2010-05-23,1,2010-05-23,21
"Common Loon",30.3705,-86.92242,"Not Visibly Oiled","Live",1,2010-05-24,1,2010-05-24,22
"Northern Gannet",30.25162,-88.08155,"Not Visibly Oiled","Live",1,2010-05-24,1,2010-05-24,22
"Herring Gull",30.25799,-88.10682,"Not Visibly Oiled","Live",1,2010-05-24,1,2010-05-24,22
"Brown Pelican",30.09232,-85.64811,"Visibly Oiled","Live",1,2010-05-24,2,2010-05-24,22
"Brown Pelican",30.342,-88.57215,"Visibly Oiled","Live",1,2010-05-25,2,2010-05-25,22
