"obsDate","Species","State","Latitude","Longitude","New","Confirmed","Alive","Status","Date","week.number"
2010-05-07,"Tursiops truncatus","LA",29.7115,-89.42988,"N","Y","N","Tursiops truncatus_N",2010-05-07,19
2010-05-07,"Tursiops truncatus","LA",29.79369,-89.3445,"N","Y","N","Tursiops truncatus_N",2010-05-07,19
2010-05-09,"Tursiops truncatus","AL",30.51182,-88.10054,"N","Y","N","Tursiops truncatus_N",2010-05-09,19
2010-05-09,"Tursiops truncatus","MS",30.24547,-88.74055,"N","Y","N","Tursiops truncatus_N",2010-05-09,19
2010-05-13,"Tursiops truncatus","LA",29.26598,-89.60778,"N","Y","N","Tursiops truncatus_N",2010-05-13,20
2010-05-13,"Tursiops truncatus","LA",30.07178,-89.95213,"N","Y","N","Tursiops truncatus_N",2010-05-13,20
2010-05-14,"Tursiops truncatus","LA",29.2747,-89.94015,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-14,"Tursiops truncatus","LA",29.29474,-89.90714,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-14,"Tursiops truncatus","LA",29.29571,-89.90682,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-14,"Tursiops truncatus","AL",30.33761,-87.60326,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-14,"Tursiops truncatus","MS",30.23066,-88.66986,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-14,"Tursiops truncatus","LA",29.0512,-90.9215,"N","Y","N","Tursiops truncatus_N",2010-05-14,20
2010-05-17,"Tursiops truncatus","MS",30.250817,-88.723133,"N","Y","N","Tursiops truncatus_N",2010-05-17,21
2010-05-17,"Tursiops truncatus","MS",30.245933,-88.736783,"N","Y","N","Tursiops truncatus_N",2010-05-17,21
2010-05-18,"Tursiops truncatus","MS",30.213933,-89.0828,"N","Y","N","Tursiops truncatus_N",2010-05-18,21
2010-05-18,"Tursiops truncatus","MS",30.22945,-89.071717,"N","Y","N","Tursiops truncatus_N",2010-05-18,21
2010-05-18,"Tursiops truncatus","LA",29.575783,-89.7118,"N","Y","N","Tursiops truncatus_N",2010-05-18,21
2010-05-21,"Tursiops truncatus","AL",30.37178,-88.24439,"N","Y","N","Tursiops truncatus_N",2010-05-21,21
2010-05-22,"Tursiops truncatus","LA",28.9964,-89.34203,"N","Y","N","Tursiops truncatus_N",2010-05-22,21
2010-05-24,"Tursiops truncatus","LA",29.215217,-90.021517,"N","Y","N","Tursiops truncatus_N",2010-05-24,22
2010-05-24,"Tursiops truncatus","LA",29.065,-90.33533,"N","Y","N","Tursiops truncatus_N",2010-05-24,22
2010-05-24,"Tursiops truncatus","LA",29.06733,-90.335083,"N","Y","N","Tursiops truncatus_N",2010-05-24,22
2010-05-25,"Tursiops truncatus","LA",29.24636,-89.96594,"N","Y","N","Tursiops truncatus_N",2010-05-25,22
2010-05-25,"Tursiops truncatus","LA",29.55544,-92.00298,"N","Y","N","Tursiops truncatus_N",2010-05-25,22
2010-05-29,"Tursiops truncatus","LA",29.2721,-89.946,"N","Y","N","Tursiops truncatus_N",2010-05-29,22
2010-05-29,"Tursiops truncatus","LA",29.7679,-93.40581,"N","Y","N","Tursiops truncatus_N",2010-05-29,22
2010-05-29,"Tursiops truncatus","LA",29.2721,-89.946,"N","Y","N","Tursiops truncatus_N",2010-05-29,22
2010-05-30,"Tursiops truncatus","LA",29.26891,-89.95302,"N","Y","N","Tursiops truncatus_N",2010-05-30,22
2010-05-30,"Tursiops truncatus","LA",29.26879,-89.95309,"N","Y","N","Tursiops truncatus_N",2010-05-30,22
2010-06-02,"Stenella sp.","FL",29.658121,-85.17408,"N","Y","N","Stenella sp._N",2010-06-02,23
2010-06-02,"Stenella sp.","FL",29.923733,-85.38795,"N","Y","N","Stenella sp._N",2010-06-02,23
2010-06-04,"Tursiops truncatus","LA",29.12284,-90.333994,"N","Y","N","Tursiops truncatus_N",2010-06-04,23
2010-06-05,"Stenella sp.","FL",30.097167,-85.696333,"N","Y","N","Stenella sp._N",2010-06-05,23
2010-06-06,"Tursiops truncatus","LA",29.0889,-90.2272,"N","Y","N","Tursiops truncatus_N",2010-06-06,23
2010-06-06,"Tursiops truncatus","LA",29.24657,-90.00166,"N","Y","N","Tursiops truncatus_N",2010-06-06,23
2010-06-06,"Tursiops truncatus","LA",29.77714,-93.24993,"N","Y","N","Tursiops truncatus_N",2010-06-06,23
2010-06-06,"Tursiops truncatus","MS",30.35514,-89.09917,"N","Y","N","Tursiops truncatus_N",2010-06-06,23
2010-06-07,"Tursiops truncatus","LA",29.24831,-90.0252,"N","Y","N","Tursiops truncatus_N",2010-06-07,24
2010-06-09,"Tursiops truncatus","LA",29.04978,-90.72654,"N","Y","N","Tursiops truncatus_N",2010-06-09,24
2010-06-12,"Tursiops truncatus","LA",29.299963,-89.706022,"N","Y","N","Tursiops truncatus_N",2010-06-12,24
2010-06-15,"Tursiops truncatus","AL",30.46536,-88.07341,"N","Y","N","Tursiops truncatus_N",2010-06-15,25
2010-06-15,"Tursiops truncatus","MS",30.3818,-89.025,"N","Y","N","Tursiops truncatus_N",2010-06-15,25
2010-06-15,"Physter macrocephalus","MS",27.673611,-88.366667,"N","Y","N","Physter macrocephalus_N",2010-06-15,25
2010-06-17,"Tursiops truncatus","AL",30.2802,-87.5405,"N","Y","N","Tursiops truncatus_N",2010-06-17,25
2010-06-19,"Tursiops truncatus","MS",30.2577,-89.0981,"N","Y","N","Tursiops truncatus_N",2010-06-19,25
2010-06-19,"Tursiops truncatus","LA",29.75695,-93.11616,"N","Y","N","Tursiops truncatus_N",2010-06-19,25
2010-06-23,"Tursiops truncatus","LA",29.87635,-89.24873,"N","Y","N","Tursiops truncatus_N",2010-06-23,26
2010-06-23,"Stenella sp.","FL",30.3169,-87.2607,"N","Y","N","Stenella sp._N",2010-06-23,26
2010-06-25,"Tursiops truncatus","LA",29.20493,-90.63451,"N","Y","N","Tursiops truncatus_N",2010-06-25,26
2010-06-25,"Tursiops truncatus","LA",29.16488,-90.63619,"N","Y","N","Tursiops truncatus_N",2010-06-25,26
2010-06-25,"Tursiops truncatus","AL",30.4089,-88.01716,"N","Y","N","Tursiops truncatus_N",2010-06-25,26
2010-06-29,"Tursiops truncatus","MS",30.29949,-88.58916,"N","Y","N","Tursiops truncatus_N",2010-06-29,27
2010-07-02,"Tursiops truncatus","MS",30.32208,-88.3484,"N","Y","N","Tursiops truncatus_N",2010-07-02,27
2010-07-05,"Tursiops truncatus","MS",30.305,-89.2533,"N","Y","N","Tursiops truncatus_N",2010-07-05,28
2010-07-08,"Tursiops truncatus","AL",30.315,-87.74528,"N","Y","N","Tursiops truncatus_N",2010-07-08,28
2010-06-24,"Stenella sp.","LA",29.7622,-93.1397,"N","Y","N","Stenella sp._N",2010-06-24,26
2010-06-24,"Stenella sp.","LA",29.7622,-93.1397,"N","Y","N","Stenella sp._N",2010-06-24,26
2010-07-09,"Tursiops truncatus","LA",29.7614,-93.5614,"N","Y","N","Tursiops truncatus_N",2010-07-09,28
2010-07-11,"Tursiops truncatus","MS",30.3461,-88.9278,"N","Y","N","Tursiops truncatus_N",2010-07-11,28
2010-07-18,"Tursiops truncatus","MS",30.3334,-89.1788,"N","Y","N","Tursiops truncatus_N",2010-07-18,29
2010-07-21,"Tursiops truncatus","MS",30.3326,-88.5833,"N","Y","N","Tursiops truncatus_N",2010-07-21,30
2010-07-21,"Tursiops truncatus","MS",30.4098,-88.8412,"N","Y","N","Tursiops truncatus_N",2010-07-21,30
2010-08-03,"Tursiops truncatus","LA",29.7704,-93.1804,"N","Y","N","Tursiops truncatus_N",2010-08-03,32
2010-08-03,"Tursiops truncatus","MS",30.3192,-89.0113,"N","Y","N","Tursiops truncatus_N",2010-08-03,32
2010-08-04,"Tursiops truncatus","LA",29.3002,-89.7074,"N","Y","N","Tursiops truncatus_N",2010-08-04,32
2010-08-05,"Tursiops truncatus","MS",30.2895,-89.2738,"N","Y","N","Tursiops truncatus_N",2010-08-05,32
2010-08-05,"Tursiops truncatus","LA",29.68659,-90.09885,"N","Y","N","Tursiops truncatus_N",2010-08-05,32
2010-08-01,"Tursiops truncatus","LA",29.52927,-89.55027,"N","Y","N","Tursiops truncatus_N",2010-08-01,31
2010-08-08,"Tursiops truncatus","LA",29.32095,-89.883,"N","Y","N","Tursiops truncatus_N",2010-08-08,32
2010-08-08,"Tursiops truncatus","LA",29.76849,-93.42952,"N","Y","N","Tursiops truncatus_N",2010-08-08,32
2010-08-07,"Tursiops truncatus","LA",29.77676,-93.26363,"N","Y","N","Tursiops truncatus_N",2010-08-07,32
2010-08-17,"Tursiops truncatus","FL",30.2423,-85.9329,"N","Y","N","Tursiops truncatus_N",2010-08-17,34
2010-05-06,"Tursiops truncatus","LA",29.655,-89.441,"N","Y","N","Tursiops truncatus_N",2010-05-06,19
2010-08-19,"Tursiops truncatus","LA",28.4883,-89.3311,"N","Y","N","Tursiops truncatus_N",2010-08-19,34
2010-08-20,"Unknown","LA",29.948909,-89.38765,"N","Y","N","Unknown_N",2010-08-20,34
2010-08-21,"Tursiops truncatus","LA",29.1705,-90.57895,"N","Y","N","Tursiops truncatus_N",2010-08-21,34
2010-08-22,"Tursiops truncatus","LA",29.31992,-89.83776,"N","Y","N","Tursiops truncatus_N",2010-08-22,34
