"obsDate","Species","State","Latitude","Longitude","New","Confirmed","Alive","Date","week.number"
2010-05-02,"Lepidochelys kempii","AL",30.2313,-87.936861,"N","Y","N",2010-05-02,18
2010-05-02,"Lepidochelys kempii","AL",30.250125,-88.075553,"N","Y","N",2010-05-02,18
2010-05-03,"Lepidochelys kempii","AL",30.248253,-88.125822,"N","Y","N",2010-05-03,19
2010-05-03,"Lepidochelys kempii","AL",30.26888,-88.07172,"N","Y","N",2010-05-03,19
2010-05-03,"Lepidochelys kempii","AL",30.332274,-88.132595,"N","Y","N",2010-05-03,19
2010-05-04,"Lepidochelys kempii","AL",30.2481,-88.1261,"N","Y","N",2010-05-04,19
2010-05-04,"Lepidochelys kempii","AL",30.395431,-88.107261,"N","Y","N",2010-05-04,19
2010-05-04,"Lepidochelys kempii","AL",30.5401,-88.0814,"N","Y","N",2010-05-04,19
2010-05-05,"Lepidochelys kempii","AL",30.368167,-88.278317,"N","Y","N",2010-05-05,19
2010-05-05,"Lepidochelys kempii","AL",30.445639,-88.109028,"N","Y","N",2010-05-05,19
2010-05-06,"Lepidochelys kempii","AL",30.250164,-88.162886,"N","Y","N",2010-05-06,19
2010-05-06,"Lepidochelys kempii","AL",30.249856,-88.2021,"N","Y","N",2010-05-06,19
2010-05-07,"Lepidochelys kempii","AL",30.367914,-87.839833,"N","Y","N",2010-05-07,19
2010-05-07,"Lepidochelys kempii","AL",30.492133,-87.929833,"N","Y","N",2010-05-07,19
2010-05-08,"Lepidochelys kempii","AL",30.24945,-88.172633,"N","Y","N",2010-05-08,19
2010-05-08,"Lepidochelys kempii","AL",30.253417,-87.823317,"N","Y","N",2010-05-08,19
2010-05-10,"Lepidochelys kempii","AL",30.381033,-88.267233,"N","Y","N",2010-05-10,20
2010-05-11,"Lepidochelys kempii","AL",30.230283,-88.023694,"N","Y","N",2010-05-11,20
2010-05-13,"Lepidochelys kempii","AL",30.25057,-87.82896,"N","Y","N",2010-05-13,20
2010-05-13,"Caretta caretta","AL",30.22843,-87.86139,"N","Y","N",2010-05-13,20
2010-05-13,"Chelonia mydas","AL",30.23116,-87.92899,"N","Y","N",2010-05-13,20
2010-05-13,"Lepidochelys kempii","AL",30.24561,-88.12423,"N","Y","N",2010-05-13,20
2010-05-13,"Lepidochelys kempii","AL",30.3709,-88.10967,"N","Y","N",2010-05-13,20
2010-05-14,"Lepidochelys kempii","AL",30.247186,-88.125303,"N","Y","N",2010-05-14,20
2010-05-16,"Chelonia mydas","AL",30.27427,-88.11115,"N","Y","N",2010-05-16,20
2010-05-17,"Lepidochelys kempii","AL",30.24383,-88.09289,"N","Y","N",2010-05-17,21
2010-05-18,"Lepidochelys kempii","AL",30.227653,-88.113175,"N","Y","N",2010-05-18,21
2010-05-18,"Lepidochelys kempii","AL",30.377883,-88.241517,"N","Y","N",2010-05-18,21
2010-05-18,"Lepidochelys kempii","AL",30.425728,-88.103975,"N","Y","N",2010-05-18,21
2010-05-18,"Lepidochelys kempii","AL",30.37832,-87.85102,"N","Y","N",2010-05-18,21
2010-05-19,"Lepidochelys kempii","AL",30.2476,-88.12448,"N","Y","N",2010-05-19,21
2010-05-19,"Lepidochelys kempii","AL",30.375,-88.285,"N","Y","Y",2010-05-19,21
2010-05-20,"Lepidochelys kempii","AL",30.23184,-88.33659,"N","Y","N",2010-05-20,21
2010-05-20,"Lepidochelys kempii","AL",30.23194,-88.33659,"N","Y","N",2010-05-20,21
2010-05-20,"Lepidochelys kempii","AL",30.3763,-88.24042,"N","Y","N",2010-05-20,21
2010-05-21,"Lepidochelys kempii","AL",30.244817,-88.114433,"N","Y","N",2010-05-21,21
2010-05-22,"Lepidochelys kempii","AL",30.381586,-88.257839,"N","Y","Y",2010-05-22,21
2010-05-22,"Lepidochelys kempii","AL",30.37675,-88.25848,"N","Y","N",2010-05-22,21
2010-05-22,"Lepidochelys kempii","AL",30.591497,-88.063306,"N","Y","N",2010-05-22,21
2010-05-23,"Lepidochelys kempii","AL",30.35887,-87.83267,"N","Y","N",2010-05-23,21
2010-05-23,"Lepidochelys kempii","AL",30.2827,-87.75123,"N","Y","N",2010-05-23,21
2010-05-24,"Lepidochelys kempii","AL",30.2573,-88.1462,"N","Y","N",2010-05-24,22
2010-05-24,"Lepidochelys kempii","AL",30.24507,-88.08815,"N","Y","N",2010-05-24,22
2010-05-24,"Lepidochelys kempii","AL",30.44495,-88.11424,"N","Y","N",2010-05-24,22
2010-05-24,"Lepidochelys kempii","AL",30.41885,-88.09638,"N","Y","N",2010-05-24,22
2010-05-26,"Lepidochelys kempii","AL",30.41673,-88.10479,"N","Y","N",2010-05-26,22
2010-05-27,"Lepidochelys kempii","AL",30.25057,-88.20267,"N","Y","N",2010-05-27,22
2010-05-27,"Lepidochelys kempii","AL",30.23557,-88.27688,"N","Y","N",2010-05-27,22
2010-05-28,"Lepidochelys kempii","AL",30.4923,-88.0519,"N","Y","N",2010-05-28,22
2010-05-29,"Lepidochelys kempii","AL",30.35415,-88.23312,"N","Y","N",2010-05-29,22
2010-06-03,"Caretta caretta","AL",30.2775,-87.5537,"N","Y","Y",2010-06-03,23
2010-06-04,"Lepidochelys kempii","AL",30.35898,-88.20843,"N","Y","N",2010-06-04,23
2010-06-05,"Eretmochelys imbricata","AL",30.248301,-87.676815,"N","Y","Y",2010-06-05,23
2010-06-08,"Caretta caretta","AL",30.23565,-88.26442,"N","Y","N",2010-06-08,24
2010-06-06,"Lepidochelys kempii","AL",30.37043,-88.25507,"N","Y","N",2010-06-06,23
2010-06-11,"Caretta caretta","AL",30.25106,-87.65367,"N","Y","N",2010-06-11,24
2010-06-13,"Lepidochelys kempii","AL",30.36646,-88.24433,"N","Y","N",2010-06-13,24
2010-06-13,"Lepidochelys kempii","AL",30.52578,-87.91704,"N","Y","N",2010-06-13,24
2010-06-16,"Caretta caretta","AL",30.25365,-87.64212,"N","Y","N",2010-06-16,25
2010-06-18,"Lepidochelys kempii","AL",30.52215,-88.06168,"N","Y","N",2010-06-18,25
2010-06-19,"Lepidochelys kempii","AL",30.26724,-87.78724,"N","Y","N",2010-06-19,25
2010-06-19,"Lepidochelys kempii","AL",30.28043,-87.76678,"N","Y","N",2010-06-19,25
2010-06-20,"Lepidochelys kempii","AL",30.37177,-88.06541,"N","Y","N",2010-06-20,25
2010-06-20,"Lepidochelys kempii","AL",30.332983,-88.1304,"N","Y","N",2010-06-20,25
2010-06-21,"Lepidochelys kempii","AL",30.53176,-88.0229,"N","Y","N",2010-06-21,26
2010-06-21,"Lepidochelys kempii","AL",30.29802,-87.99772,"N","Y","N",2010-06-21,26
2010-06-23,"Lepidochelys kempii","AL",30.6085,-88.0556,"N","Y","N",2010-06-23,26
2010-06-24,"Lepidochelys kempii","AL",30.3228,-87.51488,"N","Y","N",2010-06-24,26
2010-06-25,"Lepidochelys kempii","AL",30.25917,-87.86152,"N","Y","N",2010-06-25,26
2010-06-26,"Lepidochelys kempii","AL",30.370583,-88.2809,"N","Y","N",2010-06-26,26
2010-06-26,"Lepidochelys kempii","AL",30.290183,-88.208166,"N","Y","N",2010-06-26,26
2010-06-26,"Lepidochelys kempii","AL",30.27595,-87.76513,"N","Y","N",2010-06-26,26
2010-06-27,"Unknown","AL",30.49744,-88.04932,"N","Y","N",2010-06-27,26
2010-06-27,"Lepidochelys kempii","AL",30.50712,-88.0789,"N","Y","N",2010-06-27,26
2010-06-30,"Chelonia mydas","AL",30.2403,-88.12395,"N","Y","Y",2010-06-30,27
2010-07-02,"Lepidochelys kempii","AL",30.2255,-88.1089,"N","Y","N",2010-07-02,27
2010-07-02,"Lepidochelys kempii","AL",30.105,-88.04166,"N","Y","Y",2010-07-02,27
2010-07-05,"Chelonia mydas","AL",30.29965,-87.4859,"N","Y","N",2010-07-05,28
2010-07-09,"Lepidochelys kempii","AL",30.23985,-88.32628,"N","Y","Y",2010-07-09,28
2010-07-10,"Lepidochelys kempii","AL",30.59365,-88.0398,"N","Y","N",2010-07-10,28
2010-07-11,"Lepidochelys kempii","AL",30.27726,-87.76435,"N","Y","N",2010-07-11,28
2010-07-11,"Lepidochelys kempii","AL",30.2849,-87.7642,"N","Y","N",2010-07-11,28
2010-07-14,"Lepidochelys kempii","AL",30.48597,-88.01768,"N","Y","N",2010-07-14,29
2010-07-15,"Unknown","AL",30.28118,-87.75023,"N","Y","N",2010-07-15,29
2010-07-16,"Lepidochelys kempii","AL",30.28468,-87.81596,"N","Y","N",2010-07-16,29
2010-07-19,"Lepidochelys kempii","AL",30.268916,-87.868466,"N","Y","N",2010-07-19,30
2010-07-19,"Lepidochelys kempii","AL",30.28768,-88.30526,"N","Y","N",2010-07-19,30
2010-07-20,"Lepidochelys kempii","AL",30.49486,-88.07144,"N","Y","N",2010-07-20,30
2010-07-22,"Lepidochelys kempii","AL",30.477166,-88.098506,"N","Y","N",2010-07-22,30
2010-07-22,"Caretta caretta","AL",30.23022,-87.90641,"N","Y","N",2010-07-22,30
2010-07-27,"Lepidochelys kempii","AL",30.266116,-87.907716,"N","Y","N",2010-07-27,31
2010-07-28,"Lepidochelys kempii","AL",30.268316,-87.78671,"N","Y","N",2010-07-28,31
2010-07-29,"Lepidochelys kempii","AL",30.27134,-88.10646,"N","Y","N",2010-07-29,31
2010-07-31,"Lepidochelys kempii","AL",30.47674,-88.09686,"N","Y","N",2010-07-31,31
2010-07-31,"Lepidochelys kempii","AL",30.306031,-87.460682,"N","Y","N",2010-07-31,31
2010-08-03,"Lepidochelys kempii","AL",30.30233,-87.58668,"N","Y","N",2010-08-03,32
2010-08-03,"Lepidochelys kempii","AL",30.2457,-88.07559,"N","Y","Y",2010-08-03,32
2010-08-04,"Caretta caretta","AL",29.98667,-88.225,"N","Y","Y",2010-08-04,32
