"iata","state","airport","city","country","latitude","longitude","timezone","dst","Volume"
"0.00E+00","NM","Moriarty","Moriarty","USA",34.98560639,-106.0094661,-7,1,NA
"0.00E+00","NM","Crownpoint","Crownpoint","USA",35.71765889,-108.2015961,-7,1,NA
"00M","MS","Thigpen ","Bay Springs","USA",31.95376472,-89.23450472,-6,1,NA
"00R","TX","Livingston Municipal","Livingston","USA",30.68586111,-95.01792778,-6,1,NA
"00V","CO","Meadow Lake","Colorado Springs","USA",38.94574889,-104.5698933,-7,1,NA
"01G","NY","Perry-Warsaw","Perry","USA",42.74134667,-78.05208056,-5,1,NA
"01J","FL","Hilliard Airpark","Hilliard","USA",30.6880125,-81.90594389,-5,1,NA
"01M","MS","Tishomingo County","Belmont","USA",34.49166667,-88.20111111,-6,1,NA
"02A","AL","Gragg-Wade ","Clanton","USA",32.85048667,-86.61145333,-6,1,NA
"02C","WI","Capitol","Brookfield","USA",43.08751,-88.17786917,-6,1,NA
"02G","OH","Columbiana County","East Liverpool","USA",40.67331278,-80.64140639,-5,1,NA
"03D","MO","Memphis Memorial","Memphis","USA",40.44725889,-92.22696056,-6,1,NA
"04M","MS","Calhoun County","Pittsboro","USA",33.93011222,-89.34285194,-6,1,NA
"04Y","MN","Hawley Municipal","Hawley","USA",46.88384889,-96.35089861,-6,1,NA
"05C","IN","Griffith-Merrillville ","Griffith","USA",41.51961917,-87.40109333,-6,1,NA
"05C","IN","Griffith-Merrillville ","Griffith","USA",41.51961917,-87.40109333,-5,0,NA
"05F","TX","Gatesville - City/County","Gatesville","USA",31.42127556,-97.79696778,-6,1,NA
"05U","NV","Eureka","Eureka","USA",39.60416667,-116.0050597,-8,1,NA
"06A","AL","Moton  Municipal","Tuskegee","USA",32.46047167,-85.68003611,-6,1,NA
"06C","IL","Schaumburg","Chicago/Schaumburg","USA",41.98934083,-88.10124278,-6,1,NA
"06D","ND","Rolla Municipal","Rolla","USA",48.88434111,-99.62087694,-6,1,NA
"06M","MS","Eupora Municipal","Eupora","USA",33.53456583,-89.31256917,-6,1,NA
"06N","NY","Randall ","Middletown","USA",41.43156583,-74.39191722,-5,1,NA
"06U","NV","Jackpot/Hayden ","Jackpot","USA",41.97602222,-114.6580911,-8,1,NA
"07C","IN","Dekalb County","Auburn","USA",41.30716667,-85.06433333,-5,0,NA
"07F","TX","Gladewater Municipal","Gladewater","USA",32.52883861,-94.97174556,-6,1,NA
"07G","MI","Fitch H Beach","Charlotte","USA",42.57450861,-84.81143139,-5,1,NA
"07K","NE","Central City Municipal","Central City","USA",41.11668056,-98.05033639,-6,1,NA
"08A","AL","Wetumpka Municipal","Wetumpka","USA",32.52943944,-86.32822139,-6,1,NA
"08D","ND","Stanley Municipal","Stanley","USA",48.30079861,-102.4063514,-6,1,NA
"08K","NE","Harvard State","Harvard","USA",40.65138528,-98.07978667,-6,1,NA
"08M","MS","Carthage-Leake County","Carthage","USA",32.76124611,-89.53007139,-6,1,NA
"09A","AL","Butler-Choctaw County","Butler","USA",32.11931306,-88.1274625,-6,1,NA
"09J","GA","Jekyll Island","Jekyll Island","USA",31.07447222,-81.42777778,-5,1,NA
"09K","NE","Sargent Municipal","Sargent","USA",41.63695083,-99.34038139,-6,1,NA
"09M","MS","Charleston Municipal","Charleston","USA",33.99150222,-90.078145,-6,1,NA
"09W","DC","South Capitol Street","Washington","USA",38.86872333,-77.00747583,-5,1,NA
"0A3","TN","Smithville Municipal","Smithville","USA",35.98531194,-85.80931806,-6,1,NA
"0A8","AL","Bibb County","Centreville","USA",32.93679056,-87.08888306,-6,1,NA
"0A9","TN","Elizabethton Municipal","Elizabethton","USA",36.37094306,-82.17374111,-5,1,NA
"0AK","AK","Pilot Station","Pilot Station","USA",61.93396417,-162.8929358,-9,1,NA
"0B1","ME","Col. Dyke ","Bethel","USA",44.42506444,-70.80784778,-5,1,NA
"0B4","NE","Hartington Municipal","Hartington","USA",42.60355556,-97.25263889,-6,1,NA
"0B5","MA","Turners Falls","Montague","USA",42.59136361,-72.52275472,-5,1,NA
"0B7","VT","Warren-Sugar Bush","Warren","USA",44.11672722,-72.82705806,-5,1,NA
"0B8","NY","Elizabeth ","Fishers Island","USA",41.25130806,-72.03161139,-5,1,NA
"0C0","IL","Dacy","Chicago/Harvard","USA",42.40418556,-88.63343222,-6,1,NA
"0C4","NE","Pender Municipal","Pender","USA",42.11388722,-96.72892556,-6,1,NA
"0D1","MI","South Haven Municipal","South Haven","USA",42.35083333,-86.25613889,-5,1,NA
"0D8","SD","Gettysburg Municipal","Gettysburg","USA",44.98730556,-99.9535,-6,1,NA
"0D8","SD","Gettysburg Municipal","Gettysburg","USA",44.98730556,-99.9535,-7,1,NA
"0F2","TX","Bowie Municipal","Bowie","USA",33.60166667,-97.77556,-6,1,NA
"0F4","NE","Loup City Municipal","Loup City","USA",41.29028694,-98.99064278,-6,1,NA
"0F7","OK","Fountainhead Lodge Airpark","Eufaula","USA",35.38898833,-95.60165111,-6,1,NA
"0F8","OK","William R Pogue Municipal","Sand Springs","USA",36.17528,-96.15181028,-6,1,NA
"0F9","OK","Tishomingo Airpark","Tishomingo","USA",34.19592833,-96.67555694,-6,1,NA
"0G0","NY","North Buffalo Suburban","Lockport","USA",43.10318389,-78.70334583,-5,1,NA
"0G3","NE","Tecumseh Municipal","Tecumseh","USA",40.39944417,-96.17139694,-6,1,NA
"0G6","OH","Williams County","Bryan","USA",41.46736111,-84.50655556,-5,1,NA
